Sr.,Date,Time,Pick up location,drop off location,Yango Economy,Yango Comfort,Yango Bike,Distance (km),Indrive Economy,Indrive Comfort,Indrive Bike,weather
215,28-11-23,17:43:00,ARC Officer’s Mess (ARCOM) e/8,Jungle Spot e/7,306,388,121,5,301,443,125,normal
216,28-11-23,17:44:00,ARC Officer’s Mess (ARCOM) e/8,Children's Park and Play Ground e/9,282,352,120,1.3,301,443,125,normal
217,28-11-23,17:45:00,ARC Officer’s Mess (ARCOM) e/8,Airmen Mess e/9,191,239,68,1.8,206,308,83,normal
218,28-11-23,17:47:00,ARC Officer’s Mess (ARCOM) e/8,SNCO's Mess e/9,196,245,70,1.6,193,291,80,normal
219,28-11-23,17:50:00,ARC Officer’s Mess (ARCOM) e/8,B.B.Q Tonight g/6,200,297,76,2,206,308,83,normal
220,28-11-23,18:00:00,ARC Officer’s Mess (ARCOM) e/8,Mosque Car Park e/9,176,276,70,1.5,190,290,80,normal
221,28-11-23,18:03:00,ARC Officer’s Mess (ARCOM) e/8,PAF Water Filtration Plant e/9,180,279,75,1.6,193,291,80,normal
222,28-11-23,18:06:00,ARC Officer’s Mess (ARCOM) e/8,DCI Riding School e/10,257,321,133,6.3,342,501,143,normal
223,28-11-23,18:10:00,Air Headquarters Reception e/9,Kulsum Sugarcane Juice e/11,376,567,154,7.3,399,582,168,normal
224,28-11-23,18:14:00,Air Headquarters Reception e/9,BASES INCLUSIVE MONTESSORI e/11,354,415,157,7.5,405,591,171,normal
225,28-11-23,18:17:00,Air Headquarters Reception e/9,Pak Voter e/11,316,384,129,6.9,383,560,161,normal
226,28-11-23,18:19:00,Air Headquarters Reception e/9,INDUS HERITAGE CLUB e/11,361,427,132,6.8,380,556,160,normal
227,28-11-23,18:21:00,Air Headquarters Reception e/9,Mudan Residence guest house e/11,369,419,140,6.7,370,543,156,normal
228,28-11-23,18:23:00,Air Headquarters Reception e/9,Delano Residence e/11,370,540,150,6.5,380,557,160,normal
229,28-11-23,18:26:00,Air Headquarters Reception e/9,Executive Residency e/11,464,436,148,7.3,389,570,164,normal
230,28-11-23,18:30:00,Air Headquarters Reception e/9,SK Residence e/11,400,580,165,8,411,601,174,normal
231,28-11-23,18:33:00,Air Headquarters Reception e/9,Aura Grande Event Complex e/11,291,492,116,5.8,342,502,143,normal
232,28-11-23,18:36:00,Air Headquarters Reception e/9,Monal Marquee e/11,301,404,117,5.5,332,488,139,normal
233,28-11-23,18:39:00,khayaban e iqbal f/6,Backpackers Hostel Islamabad e/11,324,391,136,6.4,326,478,136,normal
234,28-11-23,18:42:00,khayaban e iqbal f/6,AL VEER GUEST HOUSE & APARTMENTS e/11,345,523,142,8.4,367,537,154,normal
235,28-11-23,18:45:00,khayaban e iqbal f/6,Arif Javed Rao Park e/11,321,476,132,7.1,339,496,142,normal
236,28-11-23,18:47:00,khayaban e iqbal f/6,F.E.C.H.S. e/11,363,423,155,7.8,364,532,153,normal
237,28-11-23,18:48:00,khayaban e iqbal f/6,Mishi Maan Beauty Parlour e/11,370,433,159,7.9,373,546,157,normal
238,28-11-23,18:50:00,khayaban e iqbal f/6,Ahang Kada e/11,371,433,158,8.9,377,551,158,normal
239,28-11-23,18:53:00,khayaban e iqbal f/6,Harveys Guest House e/11,388,459,170,9,377,551,158,normal
240,28-11-23,18:56:00,khayaban e iqbal f/6,Peridot Cottage ,361,532,145,8.8,373,546,157,normal
241,28-11-23,19:00:00,khayaban e iqbal f/6,Home Inn Guesthouse E11/2,372,436,160,7.7,361,528,151,normal
242,28-11-23,19:03:00,khayaban e iqbal f/6,Hyatt Aryana Guest House Islamabad e/11,359,419,152,7.5,355,519,149,normal
243,29-11-23,13:59:00,Riphah International University i-14,IJP metro bus station i/8,633,639,202,14.9,614,885,263,normal
244,29-11-23,14:08:00,Riphah International University i-14,new boys hostel  e/8,225,334,61,1.6,193,291,80,normal
245,29-11-23,14:06:00,Riphah International University i-14,cheezious i-8,722,823,235,15,617,890,265,normal
246,29-11-23,14:09:00,Riphah International University i-14,air uiversity  e/8,662,766,275,19,746,1071,322,normal
247,29-11-23,14:11:00,Riphah International University i-14,Rawal Kings Cricket i/11,365,387,128,6.7,355,520,149,normal
248,29-11-23,15:58:00,Margalla Filling Station Total PARCO Petrol Pump b/17,howdy f-7 markaz,804,1002,418,25.5,1346,409,942,normal
249,29-11-23,15:15:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Air University 9th avenue e/8,689,859,870,24.9,1327,403,930,normal
250,29-11-23,15:23:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Bait-ul-hareem hostel F8/2,701,889,900,25.3,1346,409,942,normal
251,29-11-23,15:29:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Lake view park murree road,952,1868,1000,38.1,1957,601,1375,normal
252,29-11-23,15:37:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Chather park murree road,893,1113,980,34.3,1747,535,1227,normal
253,29-11-23,15:39:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Precise engineer’s pvt Block B sector B-17,160,200,170,2.8,344,94,231,normal
254,29-11-23,15:41:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Hujra restaurant Block D sector B-17,160,200,169,2.8,344,94,231,normal
255,29-11-23,16:11:00,itwar bazar h/9,Al sahib Heights e/11,276,421,102,4.8,294,434,122,normal
256,29-11-23,16:14:00,itwar bazar h/9,F8 MARKAZ,331,396,135,8.1,399,581,168,normal
257,29-11-23,16:18:00,itwar bazar h/9,air uni e/8,311,380,127,7.6,383,558,161,normal
258,29-11-23,16:22:00,itwar bazar h/9,bahria uni e/8,321,389,131,7.9,392,572,165,normal
259,29-11-23,16:27:00,itwar bazar h/9,khayaban e iqbal f/6,421,500,190,11,629,904,270,normal
260,29-11-23,16:30:00,itwar bazar h/9,g9 markaz,247,308,95,3.6,288,424,119,normal
261,29-11-23,16:32:00,itwar bazar h/9,NUML G 3,223,279,82,7.6,383,558,161,normal
262,29-11-23,16:34:00,itwar bazar h/9,ibn e sina metro g/9,220,275,84,5.8,326,477,136,normal
263,29-11-23,16:36:00,itwar bazar h/9,g11,369,432,161,1.4,187,290,80,normal
264,29-11-23,16:38:00,itwar bazar h/9,f8 markaz,330,396,134,8.1,399,581,168,normal
265,29-11-23,16:40:00,itwar bazar h/9,g9 bus stop,239,299,91,4.5,285,420,118,normal
266,29-11-23,16:43:00,itwar bazar h/9,g9 /1,267,355,114,3.5,279,411,115,normal
267,29-11-23,16:43:00,itwar bazar h/9,HOT N SPICE e/11,900,960,321,22,983,1404,427,normal
268,29-11-23,16:50:00,itwar bazar h/9,The Grill burger e/11,328,394,136,13,554,797,237,normal
269,29-11-23,16:53:00,itwar bazar h/9,E7,368,429,161,13,550,792,235,normal
270,29-11-23,16:56:00,itwar bazar h/9,Black Rock Cafe e/11,456,532,199,6.1,336,492,140,normal
271,29-11-23,17:00:00,itwar bazar h/9,Kashmir Residency Boys Hostel e/11,467,542,202,6.4,345,506,144,normal
272,29-11-23,17:03:00,itwar bazar h/9,SK Residence e/11,320,490,123,6.5,348,511,146,normal
273,29-11-23,17:09:00,itwar bazar h/9,Coyote Den Travelers Hostel Islamabad e/11,319,455,453,6.2,339,497,142,normal
274,29-11-23,17:12:00,itwar bazar h/9,The Jungle Lounge  e/11,448,526,197,5.9,329,484,137,normal
275,29-11-23,17:14:00,itwar bazar h/9,Fitness Zone by The NAK e/11,440,518,194,6.1,336,492,140,normal
276,29-11-23,17:16:00,itwar bazar h/9,Arif Javed Rao Park e/11,312,445,116,5.9,329,483,137,normal
277,29-11-23,17:18:00,itwar bazar h/9,Najeeb Pharmacy E-11/3,440,518,194,5.4,313,461,130,normal
278,29-11-23,17:22:00,itwar bazar h/9,GLLC Languages Institute Islamabad e/11,300,440,100,5.5,313,461,130,normal
279,29-11-23,17:25:00,itwar bazar h/9,BABA JEE GUEST HOUSE e/11,287,412,97,5.2,307,452,128,normal
280,29-11-23,17:27:00,itwar bazar h/9,INDUS HERITAGE CLUB e/11,290,443,113,5.5,317,465,132,normal
281,29-11-23,17:29:00,F8 Markaz,Mudan Residence guest house e/11,377,442,162,9,427,621,181,normal
282,29-11-23,17:31:00,F8 Markaz,Sargodhian Spirit Trust (SST) e/11,412,602,161,9,427,621,181,normal
283,29-11-23,17:35:00,F8 Markaz,Beaconhouse E11 Campus,365,425,155,8.8,437,635,185,normal
284,29-11-23,17:39:00,F8 Markaz,"IIUI School, E-11 Campus",363,423,151,8.8,421,613,178,normal
285,29-11-23,17:43:00,F8 Markaz,ARJ Events e/11,402,580,154,8.9,424,617,179,normal
286,29-11-23,17:46:00,F8 Markaz,BASES INCLUSIVE MONTESSORI e/11,382,450,162,10,462,670,196,normal
287,29-11-23,17:49:00,F8 Markaz,Kamran auto bike shop e/11,354,414,151,9.1,430,625,182,normal
288,29-11-23,17:51:00,F8 Markaz,Step Inn Guest House Islamabad e/11,373,437,161,8.6,415,603,175,normal
289,29-11-23,17:53:00,F8 Markaz,Dream Inn Guest House islamabad e/11,396,601,165,9.1,430,626,182,normal
290,29-11-23,17:54:00,F8 Markaz,Alfalah Manzil Trust e/11,382,450,167,9,427,621,181,normal
291,29-11-23,17:56:00,F8 Markaz,Aura Grande Enclave e/11,329,395,134,8.2,399,581,168,normal
292,29-11-23,17:57:00,F8 Markaz,LHR Milk Shake e/11,421,632,154,10,456,661,193,normal
293,29-11-23,17:58:00,F8 Markaz,We Play Entertainment Center e/11,351,411,144,8.9,424,617,179,normal
294,29-11-23,17:59:00,F8 Markaz,AL VEER GUEST HOUSE & APARTMENTS e/11,454,645,167,11,471,685,200,normal
295,29-11-23,18:01:00,F8 Markaz,National Defence University (NDU) e/9,277,346,135,3.8,291,430,121,normal
296,29-11-23,18:03:00,F8 Markaz,PNS Hafeez - Naval Hospital e/8,219,273,87,2.6,225,336,91,normal
297,29-11-23,18:05:00,F8 Markaz,Shelton Guest House f/8,200,298,67,2.3,215,322,87,normal
298,29-11-23,18:07:00,F8 Markaz,PNS Zafar e/8,205,345,70,3.3,247,368,101,normal
299,29-11-23,18:09:00,F8 Markaz,PAF Complex Islamabad - AHQ e/9,262,328,104,6.5,291,430,121,normal
300,29-11-23,18:11:00,F8 Markaz,Faisal Battery Shop e/7,223,343,70,3.5,253,376,104,normal
301,29-11-23,18:12:00,F8 Markaz,CSD - Canteen Stores Department e/8,210,323,76,2.8,231,346,94,normal
302,29-11-23,18:14:00,F8 Markaz,PN Football Ground e/8,201,321,80,3.1,241,359,98,normal
303,29-11-23,18:16:00,F8 Markaz,Navy Mess Guestrooms e/8,242,303,95,3.1,241,359,98,normal
304,29-11-23,18:19:00,F8 Markaz,PN Central Mess,240,300,94,3,238,354,97,normal
305,29-11-23,18:22:00,F8 Markaz,Riding Club E-8,266,332,107,3.9,266,394,109,normal
306,29-11-23,18:30:00,The centaures mall f/8,Riding Club E-8,321,398,128,4.5,307,452,128,normal
307,29-11-23,18:31:00,The centaures mall f/8,PNS Zafar Helipad e/8,276,406,100,4,291,430,121,normal
308,29-11-23,18:33:00,The centaures mall f/8,Islamabad Fire Station e/8,250,400,90,3.8,288,425,119,normal
309,29-11-23,18:35:00,The centaures mall f/8,M.E.S Mosque e/8,296,368,126,4.6,307,452,128,normal
310,29-11-23,18:37:00,The centaures mall f/8,Bahria Park e/8,294,386,124,4.9,317,465,132,normal
311,29-11-23,18:39:00,The centaures mall f/8,VCNS House e/8,290,443,90,4.8,313,461,130,normal
312,29-11-23,18:40:00,The centaures mall f/8,ARC Officer’s Mess (ARCOM) e/8,293,390,125,4.6,310,456,129,normal
313,29-11-23,18:41:00,The centaures mall f/8,Naval Park e/8,248,329,105,3.5,279,412,115,normal
314,29-11-23,18:43:00,The centaures mall f/8,Margalla Park f/8,231,309,98,2.8,234,348,95,normal
315,29-11-23,18:44:00,The centaures mall f/8,Special Children Bahria College Islamabad e/8,245,398,97,3.7,285,420,118,normal
316,29-11-23,18:46:00,The centaures mall f/8,"Post Office, E-8, Islamabad",281,384,118,3.8,288,425,119,normal
317,29-11-23,18:47:00,The centaures mall f/8,The Jungle Lounge  e/11,403,501,189,9.5,462,671,196,normal
318,29-11-23,18:49:00,The centaures mall f/8,Hill View Residency e/11,498,703,198,11,516,746,220,normal
319,29-11-23,18:51:00,The centaures mall f/8,Sarai Silk Route Islamabad e/11,424,515,195,11,509,737,217,normal
320,29-11-23,18:53:00,karachi company bus stand g/9,Us guest house islamabad E11,412,634,176,9.6,456,663,193,normal
321,29-11-23,18:55:00,karachi company bus stand g/9,BR 9 -Best Sheesha Cafe in Islamabad e/11,476,678,176,9.4,509,739,217,normal
322,29-11-23,18:57:00,karachi company bus stand g/9,Metro Consulting Grid Pvt Ltd. e/11,418,497,190,9.3,506,733,216,normal
323,29-11-23,18:59:00,karachi company bus stand g/9,Lazzat spa Islamabad e/11,402,598,156,9,427,623,181,normal
324,29-11-23,18:23:00,daraz islamabad warehouse i/9,pims metro station g/8,309,386,146,8.2,405,589,171,normal
325,29-11-23,18:26:00,daraz islamabad warehouse i/9,IJP metro bus station i/8,201,252,75,3.8,263,389,108,normal
326,29-11-23,18:24:00,daraz islamabad warehouse i/9,"Faizabad Bus Station Karnal Sher Khan Shaheed Road, Faizabad I 8/4 I-8, Islamabad",280,350,112,5.2,405,589,171,normal
327,29-11-23,18:28:00,daraz islamabad warehouse i/9,"Butt Lodges Guest House Street 95, I-8/4 I 8/4 I-8, Islamabad",248,367,98,4.4,282,416,116,normal
328,29-11-23,18:31:00,IJP metro bus station i/8,Islamabad model college for girls G-10/2,277,345,120,11.8,351,513,147,normal
329,29-11-23,18:35:00,daraz islamabad warehouse i/9,new palace guest house g/9,269,342,107,5.3,313,461,130,normal
330,29-11-23,19:00:00,karachi company bus stand g/9,Jamia Masjid Qurtubah e/11,408,487,191,8.4,411,601,174,normal
331,29-11-23,19:01:00,karachi company bus stand g/9,AJWA RANT A CAR e/11,390,570,123,8.4,415,606,175,normal
332,29-11-23,19:03:00,karachi company bus stand g/9,"Autism Resource Centre, Islamabad e/11",406,494,189,8.1,402,588,170,normal
333,29-11-23,19:04:00,karachi company bus stand g/9,The City School E-11 Campus,378,481,183,8,396,576,167,normal
334,29-11-23,19:06:00,karachi company bus stand g/9,MARGALLA Hills Residency Islamabad E-11/3,399,474,189,8,399,583,168,normal
335,29-11-23,19:07:00,karachi company bus stand g/9,Apple Group of Schools Islamabad e/11,399,475,188,8.1,402,588,170,normal
336,29-11-23,19:07:00,karachi company bus stand g/9,Flexi dreams hospitality services Islamabad e/11,345,465,134,7.8,392,574,165,normal
337,29-11-23,19:11:00,karachi company bus stand g/9,IBH BOYS HOSTEL e/11,393,465,177,7.8,392,574,165,normal
338,29-11-23,19:13:00,karachi company bus stand g/9,Premier cottage Inn e/11,181,238,65,7.7,389,569,164,normal
339,29-11-23,19:15:00,karachi company bus stand g/9,Unicres Pvt Ltd e/11,345,532,143,7.7,389,569,164,normal
340,29-11-23,19:17:00,karachi company bus stand g/9,Backpackers Hostel Islamabad e/11,382,449,171,7.4,370,542,156,normal
341,29-11-23,19:48:00,Maryam Girls Hostel i-14/3,air uiversity  e/8,535,667,280,18.4,724,1039,312,normal
342,29-11-23,19:52:00,Maryam Girls Hostel i-14/3,paf hospital unit 2 e/9,570,720,270,18.4,721,1036,311,normal
343,29-11-23,19:54:00,Maryam Girls Hostel i-14/3,Riphah International University i-14,147,184,70,0.85,178,290,80,normal
344,29-11-23,19:55:00,Maryam Girls Hostel i-14/3,G-11 sunday bazar,385,480,180,11.2,497,718,212,normal
345,29-11-23,19:59:00,new palace guest house g/9,Maryam Girls Hostel i-14/3,476,593,223,14.1,588,849,252,normal
346,29-11-23,20:04:00,new palace guest house g/9,Riphah International University i-14,445,555,206,13.8,579,836,248,normal
347,29-11-23,20:07:00,new palace guest house g/9,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",358,447,162,12.1,525,758,224,normal
348,29-11-23,20:08:00,new palace guest house g/9,IJP metro bus station,232,322,111,6,332,486,139,normal
349,30-11-23,7:55:00,Islamabad model college for girls G-10/2,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",459,572,226,13.3,509,737,217,rainy
350,30-11-23,7:59:00,Islamabad model college for girls G-10/2,paf hospital unit 2 e/8,342,373,130,7.2,475,688,202,rainy
351,30-11-23,8:31:00,Islamabad model college for girls G-10/2,Maryam Girls Hostel i-14/3,675,1100,310,17.6,920,1316,399,rainy
352,30-11-23,8:36:00,Islamabad model college for girls G-10/2,cheezious i-8,387,484,163,5.3,402,586,170,rainy
353,30-11-23,11:22:00,IBH BOYS HOSTEL e/11,Kulsum Sugarcane Juice e/11,165,245,67,1.4,193,290,80,normal
354,30-11-23,11:24:00,IBH BOYS HOSTEL e/11,BASES INCLUSIVE MONTESSORI e/11,257,326,71,0.95,178,290,80,normal
355,30-11-23,11:25:00,IBH BOYS HOSTEL e/11,Pak Voter e/11,158,256,70,0.65,178,290,80,normal
356,30-11-23,11:26:00,IBH BOYS HOSTEL e/11,INDUS HERITAGE CLUB e/11,145,256,68,0.85,178,290,80,normal
357,30-11-23,11:28:00,IBH BOYS HOSTEL e/11,Mudan Residence guest house e/11,342,407,66,0.22,178,290,80,normal
358,30-11-23,11:31:00,Cheezious f11,Delano Residence e/11,325,375,153,3.7,276,407,114,normal
359,30-11-23,11:34:00,Cheezious f11,Executive Residency e/11,239,294,124,4.5,462,669,196,normal
360,30-11-23,11:37:00,Cheezious f11,SK Residence  e/11,289,409,116,5.2,307,452,128,normal
361,30-11-23,11:38:00,Cheezious f11,Aura Grande Event Complex  e/11,190,253,95,3,238,353,97,normal
362,30-11-23,11:39:00,Cheezious f11,Monal Marquee  e/11,184,246,65,2.8,231,344,94,normal
363,30-11-23,11:41:00,Cheezious f11,Backpackers Hostel Islamabad  e/11,171,230,65,2.3,212,317,86,normal
364,30-11-23,11:42:00,Cheezious f11,AL VEER GUEST HOUSE & APARTMENTS  e/11,287,423,102,4.3,310,456,129,normal
365,30-11-23,11:44:00,Cheezious f11,Arif Javed Rao Park  e/11,256,402,98,4.4,288,424,119,normal
366,30-11-23,11:46:00,Cheezious f11,F.E.C.H.S.  e/11,272,356,109,5,304,447,126,normal
367,30-11-23,11:48:00,Cheezious f11,Mishi Maan Beauty Parlour  e/11,241,318,90,5.1,304,447,126,normal
368,30-11-23,11:50:00,Cheezious f11,Ahang Kada  e/11,298,434,104,4.8,317,465,132,normal
369,30-11-23,11:51:00,Cheezious f11,Harveys Guest House  e/11,286,373,110,4.9,317,465,132,normal
370,30-11-23,11:52:00,Cheezious f11,Peridot Cottage  e/11,306,392,126,4.7,313,461,130,normal
371,30-11-23,11:54:00,Cheezious f11,Home Inn Guesthouse E11/2,267,419,101,4.9,298,438,123,normal
372,30-11-23,11:57:00,Cheezious f11,Hyatt Aryana Guest House Islamabad  e/11,259,333,103,4.7,291,429,121,normal
373,30-11-23,12:21:00,G-11 Sunday Bazar,Maryam Girls Hostel i-14/3,367,408,184,11.1,494,715,210,rainy
374,30-11-23,12:25:00,G-11 Sunday Bazar,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",255,354,124,7.1,367,536,154,rainy
375,30-11-23,12:27:00,G-11 Sunday Bazar,IJP metro bus station i/8,304,379,124,8.7,418,606,177,rainy
376,30-11-23,12:38:00,mezban tandoori islamabad G-11,faiz ahmad faiz metro station h/8,273,341,125,7.3,342,499,143,rainy
377,30-11-23,12:46:00,mezban tandoori islamabad G-11,Bismillah Plaza I-10 markaz,345,43,160,10.1,462,670,196,rainy
378,30-11-23,12:56:00,mezban tandoori islamabad G-11,Riphah International University i-14,350,471,166,10.5,475,689,202,rainy
379,30-11-23,12:59:00,mezban tandoori islamabad G-11,Maryam Girls Hostel i-14/3,403,503,205,10.8,484,702,206,rainy
380,30-11-23,12:28:00,mezban cafe islamabad g/11,IJP metro bus station i/8,333,416,163,10.2,465,673,198,rainy
381,30-11-23,13:18:00,The comfort lodge f/11,Riphah International University i-14,395,492,171,10.9,487,708,207,rainy
382,30-11-23,13:11:00,The comfort lodge f/11,Maryam Girls Hostel i-14/3,423,527,187,11.2,497,721,212,rainy
383,30-11-23,13:21:00,The comfort lodge f/11,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",298,372,127,7.2,370,542,156,rainy
384,30-11-23,13:35:00,Delight Afghani burger and french fries G-9/4,Maryam Girls Hostel i-14/3,517,641,249,15.1,620,894,266,rainy
385,30-11-23,13:38:00,Delight Afghani burger and french fries G-9/4,IJP metro bus station i/8,246,307,110,6,332,486,139,rainy
386,30-11-23,13:40:00,Delight Afghani burger and french fries G-9/4,Riphah International University i-14,487,608,234,16.7,610,881,262,rainy
387,30-11-23,13:42:00,Delight Afghani burger and french fries G-9/4,D Watson I-10 Markaz,321,400,145,8.1,399,581,168,rainy
388,30-11-23,13:44:00,Delight Afghani burger and french fries G-9/4,new boys hotel i/13,531,661,254,16.8,674,969,290,rainy
389,30-11-23,13:46:00,Delight Afghani burger and french fries G-9/4,"PIMS Metro Bus Station Jinnah Avenue, G 8/3 G-8, Islamabad",215,268,90,4.8,294,433,122,rainy
390,30-11-23,13:47:00,Delight Afghani burger and french fries G-9/4,"BAIT UL MOHSINAAT GIRLS HOSTEL ISLAMABAD I-9/1 I 9/1 I-9, Islamabad",295,368,128,7,364,531,153,rainy
391,30-11-23,20:23:00,Islamabad model college for girls G-10/2,IJP metro bus station i/8,324,404,149,6.9,440,638,186,rainy
392,30-11-23,20:27:00,Islamabad model college for girls G-10/2,Bismillah Market I-10 markaz,398,496,217,8.2,427,620,181,rainy
393,01-12-23,14:27:00,The comfort lodge f/11,faiz ahmad faiz metro station h/8,331,413,151,9.6,443,642,188,normal
394,01-12-23,14:29:00,The comfort lodge f/11,Delight Afghani burger and french fries G-9/4,312,340,139,9,380,555,160,normal
395,01-12-23,14:31:00,The comfort lodge f/11,mezban tandoori islamabad G-11,169,210,66,2.4,219,325,88,normal
396,01-12-23,20:12:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad", faiz ahmad faiz metro station h/8,363,657,174,11.8,516,743,220,normal
397,01-12-23,20:14:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",mezban tandoori islamabad G-11,352,423,118,6.6,351,513,147,normal
398,01-12-23,20:16:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",Ayub Market f7 markaz,511,579,211,14.8,610,879,262,normal
399,01-12-23,20:17:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad","PIMS Metro Bus Station Jinnah Avenue, G 8/3 G-8, Islamabad",488,524,206,14.5,601,864,258,normal
400,01-12-23,20:20:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",Maryam Girls Hostel i-14/3,350,361,123,6.5,348,510,146,normal
401,01-12-23,20:22:00,"Quetta Darbar Cafe Street 85, G-13/1 G 13/1 G-13, Islamabad",Bismillah Plaza I-10 markaz,489,515,191,12.7,544,785,233,normal
402,02-12-23,14:27:00,Margalla Filling Station Total PARCO Petrol Pump b/17,Chattha’s  F10,890,300,276,23.8,1132,342,761,normal
403,02-12-23,14:48:00,Margalla Filling Station Total PARCO Petrol Pump b/18,Tandoori Restaurant  F10,597,746,288,27.4,1154,349,806,normal
404,02-12-23,14:50:00,Margalla Filling Station Total PARCO Petrol Pump b/19,Khabbay Ki Sajji  F10,610,762,296,24.4,803,1149,347,normal
405,02-12-23,14:55:00,Margalla Filling Station Total PARCO Petrol Pump b/20,Butt Karahi F-10,610,762,296,24.4,1149,347,803,normal
406,02-12-23,14:58:00,Margalla Filling Station Total PARCO Petrol Pump b/21,italian oven f-10,657,820,297,24.1,1149,347,803,normal
407,02-12-23,15:00:00,Margalla Filling Station Total PARCO Petrol Pump b/22,Orient Restaurant  F10,653,814,299,24.3,1185,359,829,normal
408,02-12-23,15:15:00,Margalla Filling Station Total PARCO Petrol Pump b/23,Hot N Chilli  F10,615,290,298,24.4,1154,349,806,normal
409,02-12-23,15:49:00,Margalla Filling Station Total PARCO Petrol Pump b/24,Suki Sushi Japanese & Korean Restaurant (F10-Markaz),604,802,300,24.1,1132,342,791,normal
410,02-12-23,15:59:00,Auracael Private limited  b/17,Orient Restaurant  F10,726,904,361,24.5,1310,398,917,normal
411,03-12-23,16:22:00,Auracael Private limited  b/17,Hot N Chilli  F10,730,910,361,23.8,1279,388,895,normal
412,05-12-23,10:36:00,Bahria E-8/1,F-8 markaz,228,284,94,2.9,209,313,85,normal
413,05-12-23,10:38:00,Bahria E-8/1,Centaurus mall f/8,240,322,104,4.6,253,376,104,normal
414,05-12-23,10:38:00,Bahria E-8/1,Safa gold mall  f/7,243,374,99,4.3,260,384,107,normal
415,05-12-23,10:39:00,Bahria E-8/1,F-10 markaz,247,385,104,4.9,260,385,107,normal
416,05-12-23,10:39:00,Bahria E-8/1,Blue Area Dwatson g/7,256,397,106,4.4,279,411,115,normal
417,05-12-23,10:39:00,Bahria E-8/1,Jinnah Supermarket f/7,278,382,106,5.8,263,389,108,normal
418,05-12-23,10:41:00,Bahria E-8/1,Aiwan E Saddar g/6,432,591,185,9.1,452,656,192,normal
419,05-12-23,10:42:00,Bahria E-8/1,Rose & Jasmine Garden g/6,374,473,163,8.7,408,594,172,normal
420,05-12-23,10:42:00,Bahria E-8/1,Ibn-e-sina Road g/11,281,415,114,5.3,323,473,135,normal
421,05-12-23,10:43:00,Bahria E-8/1,Shalimar cricket ground f/6,300,456,126,5.6,301,442,125,normal
422,05-12-23,10:43:00,Bahria E-8/1,F-11 markaz,339,445,166,7.8,505,345,144,normal
423,05-12-23,10:44:00,Bahria E-8/1,Faisal mosque e/8,348,403,136,3.4,231,344,94,normal
424,05-12-23,10:44:00,Bahria E-8/1,Margalla Road f/8,295,298,116,0.8,178,290,80,normal
425,05-12-23,10:46:00,Bahria E-8/1,Khawaja Market,408,412,160,6.2,276,407,114,normal
426,05-12-23,10:47:00,Bahria E-8/1,Model college Girls G-8/4,441,446,181,6.2,323,473,135,normal
427,05-12-23,10:48:00,Bahria E-8/1,Serena Hotel g/5,405,506,178,9.9,452,656,191,normal
428,05-12-23,10:49:00,Bahria E-8/1,PNCA f/5,416,544,178,8.6,396,577,167,normal
429,05-12-23,10:49:00,Bahria E-8/1,Daman-e-Koh f/6,376,497,158,8.2,383,559,161,normal
430,05-12-23,10:50:00,Bahria E-8/1,Pakistan Monument  g/7,416,519,182,10.4,456,661,193,normal
431,05-12-23,10:51:00,Bahria E-8/1,Lake view Park,529,694,211,13.8,569,821,244,normal
432,05-12-23,10:52:00,Bahria E-8/1,Shakarparian Park,522,522,242,9.8,443,643,188,normal
433,05-12-23,10:53:00,Bahria E-8/1,Air University e/9,249,252,112,0.75,178,290,80,normal
434,05-12-23,10:53:00,Bahria E-8/1,Saidpur Village g/6,427,431,187,6.1,298,438,123,normal
435,05-12-23,10:54:00,Bahria E-8/1,Japanese children Park,347,350,177,4.6,269,398,111,normal
436,05-12-23,10:55:00,Bahria E-8/1,Melody Food Park g/6,487,492,217,8.3,405,589,171,normal
437,05-12-23,10:55:00,Bahria E-8/1,Lok Virsa Heritage Museum,491,496,224,9.2,427,620,181,normal
438,05-12-23,10:55:00,Bahria E-8/1,Diplomatic Enclave g/5,645,629,315,12.2,525,759,224,normal
439,05-12-23,10:55:00,Bahria E-8/1,Cafe Aylanto f/7,331,334,168,3.9,247,367,101,normal
440,05-12-23,10:56:00,Bahria E-8/1,Islamabad Club g/7,550,660,222,10.3,459,665,195,normal
441,05-12-23,10:56:00,Bahria E-8/1,Tuscany courtyard F-7,215,268,87,6.2,323,474,135,normal
